"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L1657","AbortException","hudson.AbortException","L104","L103","C:\Users\Angel\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Jenkins\jenkins-jenkins-2.205\core\src\main\java\hudson\AbortException.java","35","1","48","2","0","0","0","0","0","0","0","0","0","0","0","2","0","26","23","0","2","0.666667","0.578947","11","11","2","1","0.578947","11","0","0","0","0","0","8","14","1","0","1","0","2","0","2","0","2","1","0","2","0","8","14","1","0","1","0","2","0","2","0","2","1","0","2","0","0","0","3","0","2","1","0","0","0","1","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17388","AboutJenkins","hudson.AboutJenkins","L104","L103","C:\Users\Angel\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Jenkins\jenkins-jenkins-2.205\core\src\main\java\hudson\AboutJenkins.java","15","1","41","2","0","0","0","0","0","0","0","0","0","0","0","5","2","0","0","0","5","0.166667","0.185185","5","5","1","5","0.185185","5","3","4","0","0","1","22","27","1","9","0","5","5","0","5","0","10","5","1","10","0","22","27","1","9","0","5","5","0","5","0","10","5","1","10","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"L17403","AbstractMarkupText","hudson.AbstractMarkupText","L104","L103","C:\Users\Angel\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Jenkins\jenkins-jenkins-2.205\core\src\main\java\hudson\AbstractMarkupText.java","42","1","166","2","0","0","0","0","0","0","0","0","1","3","3","21","2","8","13","0","13","0.916667","0.561983","68","65","11","1","0.561983","68","0","0","2","2","0","53","125","0","1","0","1","13","0","11","0","13","27","0","11","0","53","125","0","1","0","1","13","0","11","0","13","27","0","11","0","0","0","5","0","4","0","0","0","0","3","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17473","BulkChange","hudson.BulkChange","L104","L103","C:\Users\Angel\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Jenkins\jenkins-jenkins-2.205\core\src\main\java\hudson\BulkChange.java","71","1","167","2","0","0","0","0","0","0","0","0","1","2","2","13","1","24","33","1","8","0.857143","0.642276","79","75","6","1","0.632","79","0","0","0","0","0","44","95","6","0","6","0","7","2","6","0","7","24","2","6","0","46","97","7","0","6","0","8","2","7","0","8","24","3","7","0","0","0","15","0","7","3","0","0","0","6","0","0","0","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","7","0"
"L17514","ClassicPluginStrategy","hudson.ClassicPluginStrategy","L104","L103","C:\Users\Angel\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Jenkins\jenkins-jenkins-2.205\core\src\main\java\hudson\ClassicPluginStrategy.java","81","1","718","2","0","0","0","0","0","0","0","0","2","4","4","79","23","8","2","35","56","0.1","0.151589","62","25","1","9","0.161687","92","2","2","1","1","1","347","470","6","3","6","3","21","2","9","0","21","220","2","9","0","477","638","30","18","9","5","33","2","12","0","102","286","2","56","6","0","0","96","5","31","4","0","6","0","22","1","8","0","2","4","0","72","1","0","3","0","0","0","0","0","0","0","0","0","0","13","0"
"L14672","CloseProofOutputStream","hudson.CloseProofOutputStream","L104","L103","C:\Users\Angel\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Jenkins\jenkins-jenkins-2.205\core\src\main\java\hudson\CloseProofOutputStream.java","34","1","42","2","0","0","0","0","0","0","0","0","1","0","0","2","1","2","2","1","3","0.333333","0.333333","4","4","1","2","0.333333","4","1","1","0","0","1","8","9","1","0","0","0","2","0","2","0","8","1","0","7","0","8","9","1","0","0","0","2","0","2","0","8","1","0","7","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18792","DependencyRunner","hudson.DependencyRunner","L104","L103","C:\Users\Angel\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Jenkins\jenkins-jenkins-2.205\core\src\main\java\hudson\DependencyRunner.java","42","1","94","2","0","0","0","0","0","0","0","0","1","3","3","8","8","1","1","7","10","0.333333","0.159091","7","3","1","2","0.148936","7","0","0","0","0","0","37","50","3","0","3","0","3","0","2","0","3","20","0","2","0","40","53","3","0","3","0","4","0","3","0","4","20","0","3","0","0","0","14","0","8","0","0","5","0","3","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17988","DescriptorExtensionList<T extends Describable<T>, D extends Descriptor<T>>","hudson.DescriptorExtensionList","L104","L103","C:\Users\Angel\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Jenkins\jenkins-jenkins-2.205\core\src\main\java\hudson\DescriptorExtensionList.java","69","1","260","2","0","0","0","0","0","0","0","0","6","3","3","29","10","59","15","14","33","0.75","0.397727","70","66","9","3","0.37234","70","2","2","1","1","1","106","179","11","7","3","3","19","0","11","0","52","44","3","31","0","118","192","14","7","3","3","22","0","12","0","65","47","3","38","0","0","0","36","0","10","0","0","1","0","9","1","0","0","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"L19582","DNSMultiCast","hudson.DNSMultiCast","L104","L103","C:\Users\Angel\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Jenkins\jenkins-jenkins-2.205\core\src\main\java\hudson\DNSMultiCast.java","28","1","206","2","0","0","0","0","0","0","0","0","1","2","2","5","4","2","2","2","4","0.333333","0.259259","7","5","1","2","0.320755","51","0","0","0","0","0","20","42","3","0","3","0","2","1","2","0","2","8","1","2","0","108","179","5","0","5","0","7","1","5","0","7","65","1","5","0","0","1","17","0","5","0","0","0","0","5","0","0","0","0","0","0","13","0","0","1","0","0","0","0","0","0","0","0","0","0","4","0"
"L4302","EnvVars","hudson.EnvVars","L104","L103","C:\Users\Angel\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Jenkins\jenkins-jenkins-2.205\core\src\main\java\hudson\EnvVars.java","76","1","462","2","0","0","0","0","0","0","0","0","3","2","2","36","6","79","65","4","22","0.777778","0.517857","116","106","14","4","0.411924","152","0","0","0","0","0","108","227","4","2","4","2","18","1","17","1","18","60","1","17","1","217","387","19","7","13","4","29","2","25","1","37","116","3","30","1","0","3","49","1","15","3","0","0","0","15","1","0","0","0","0","0","35","0","0","4","0","0","0","0","0","0","0","0","0","0","13","0"
